iter	RMSE
0	73911.75351
1	69536.56728
2	65228.0962
3	61104.48416
4	57447.57739
5	54453.36297
6	51688.05804
7	49030.53614
8	46729.36992
9	44542.52186
10	42661.89462
11	41066.50331
12	39605.28171
13	38254.58222
14	36952.92377
15	35761.58998
16	34615.18298
17	33740.05727
18	32938.22092
19	32194.28145
20	31476.28451
21	30726.01832
22	30182.92815
23	29591.9971
24	29133.90806
25	28674.67443
26	28189.07179
27	27750.45593
28	27316.27352
29	26952.23375
30	26643.41073
31	26319.01206
32	26025.02523
33	25751.39446
34	25503.0041
35	25286.05933
36	25025.37259
37	24785.06097
38	24545.96998
39	24342.0611
40	24160.47594
41	23991.5205
42	23793.92754
43	23589.58461
44	23443.96209
45	23324.44616
46	23151.35929
47	23045.23913
48	22913.97596
49	22796.46893
50	22678.1486
51	22572.63057
52	22399.69019
53	22264.90804
54	22162.9006
55	22084.67423
56	21940.33991
57	21880.14274
58	21760.07298
59	21651.57962
60	21544.90245
61	21413.23248
62	21303.17256
63	21230.56316
64	21103.52823
65	20982.76929
66	20922.34212
67	20818.74634
68	20740.24707
69	20688.40722
70	20585.66356
71	20468.64188
72	20414.53991
73	20329.36055
74	20264.68991
75	20197.934
76	20116.16137
77	20087.13335
78	20004.51462
79	19908.67338
80	19815.61855
81	19704.84308
82	19621.08046
83	19593.861
84	19535.66893
85	19426.07598
86	19373.01051
87	19321.4551
88	19231.41527
89	19197.47186
90	19081.50339
91	19020.53254
92	18919.69462
93	18829.05182
94	18722.01159
95	18649.83951
96	18551.43059
97	18440.57224
98	18352.27964
99	18311.88344
