iter	Passed	Remaining
0	3	373
1	17	843
2	31	1004
3	34	829
4	51	970
5	64	1002
6	77	1023
7	98	1133
8	101	1029
9	113	1025
10	126	1023
11	144	1062
12	157	1056
13	170	1048
14	183	1037
15	195	1026
16	202	988
17	215	979
18	227	970
19	245	981
20	268	1009
21	295	1046
22	320	1073
23	348	1102
24	362	1086
25	380	1083
26	398	1077
27	417	1073
28	446	1093
29	482	1126
30	501	1115
31	518	1102
32	536	1088
33	553	1073
34	587	1091
35	617	1097
36	644	1097
37	669	1092
38	696	1088
39	725	1087
40	741	1067
41	758	1047
42	775	1027
43	791	1007
44	808	988
45	825	969
46	860	970
47	878	951
48	906	943
49	923	923
50	955	918
51	986	910
52	1004	890
53	1030	877
54	1065	871
55	1096	861
56	1108	836
57	1110	804
58	1127	783
59	1156	770
60	1186	758
61	1216	745
62	1248	733
63	1268	713
64	1288	693
65	1316	678
66	1337	658
67	1368	643
68	1400	628
69	1427	611
70	1457	595
71	1484	577
72	1502	555
73	1537	540
74	1556	518
75	1585	500
76	1603	478
77	1606	453
78	1623	431
79	1656	414
80	1686	395
81	1713	376
82	1732	354
83	1751	333
84	1768	312
85	1796	292
86	1813	271
87	1841	251
88	1858	229
89	1876	208
90	1909	188
91	1937	168
92	1963	147
93	1997	127
94	2057	108
95	2085	86
96	2113	65
97	2126	43
98	2145	21
99	2172	0
