iter	Passed	Remaining
0	6	687
1	12	633
2	19	622
3	25	617
4	31	605
5	38	603
6	44	593
7	50	581
8	57	576
9	63	570
10	69	559
11	74	548
12	80	538
13	86	532
14	92	523
15	95	500
16	100	492
17	106	484
18	112	479
19	118	473
20	124	468
21	130	462
22	136	455
23	142	450
24	147	443
25	153	437
26	159	431
27	164	423
28	169	416
29	175	408
30	180	401
31	186	395
32	191	389
33	197	383
34	202	376
35	208	369
36	213	363
37	218	357
38	224	350
39	229	344
40	234	338
41	241	333
42	246	326
43	251	319
44	256	313
45	261	307
46	266	300
47	271	294
48	277	288
49	282	282
50	287	276
51	292	270
52	297	264
53	303	258
54	309	253
55	315	247
56	320	241
57	325	235
58	331	230
59	336	224
60	341	218
61	346	212
62	351	206
63	357	200
64	362	195
65	367	189
66	372	183
67	378	178
68	384	172
69	389	167
70	395	161
71	400	155
72	406	150
73	411	144
74	415	138
75	420	132
76	426	127
77	431	121
78	438	116
79	443	110
80	448	105
81	453	99
82	458	93
83	464	88
84	469	82
85	475	77
86	481	71
87	486	66
88	491	60
89	497	55
90	502	49
91	508	44
92	514	38
93	519	33
94	524	27
95	529	22
96	534	16
97	539	11
98	545	5
99	551	0
